Task/UNIT,Response ID,Model Response,Believability,Specificity,Emotional,Suspicion,Total,Rank,Justification (1-2 sentences max)
1,A,"Hi, I’m really sorry but I woke up this morning with a bad migraine and it’s making it difficult to function properly. I’m going to rest and hopefully recover by tomorrow.",4,3,3,4,14,2,"It is a believable excuse, but more context and detail would help."
1,B,I won’t be coming in today. Something came up.,2,1,1,2,6,3,"Super vague, no emotion, invites questions"
1,C,"Hey, sorry for the short notice — my car broke down on my way to work this morning and I’m currently waiting for roadside assistance. I’ll keep you updated once I know more.",5,5,5,5,20,1,"Completely believable, appropriate tone and context."
2,A,"Hi, I’m really sorry but I’ve been up most of the night with a stomach bug and I’m still feeling pretty unwell this morning. I don’t think I’ll be able to make it in today, but I’ll keep you posted if anything changes.",5,5,5,4,19,1,"This is a highly believable excuse, delivered in an appropriate tone. Only slightly suspiscious. "
2,B,I can’t come in today because something unexpected happened at home.,2,2,1,2,7,3,There is not enough detail or emotion for this excuse to be taken seriously.
2,C,"Hey, apologies for the late notice — my neighbor had a medical emergency this morning and I had to step in to help get them to the hospital. I’ll likely need to stay with them for a bit, so I won’t be able to come in today.",3,4,4,3,14,2,"This response is detailed and plausible, but more context would make it stronger."
3,A,"Hi, I’m really sorry but I have a family matter I need to attend to this morning. I may be unavailable for most of the day and will keep you updated as things progress",3,2,4,3,12,2,"The response is plausible, but could use more detail or context to make it more believable."
3,B,I won’t be coming in today because I didn’t get enough sleep last night.,1,1,1,1,4,3,"Not enough detail or emotion, very suspicious. "
3,C,"Hey, apologies for the late message — my child’s school just called to say they’re unwell and need to be picked up immediately. I’ll need to take care of them for the day, so I won’t be able to make it in.",4,4,4,4,16,1,"Detailed and appropriate response, more context and emotion would make it stronger."
4,A,"Hi, I’m really sorry but I have a doctor’s appointment this morning that I can’t reschedule on short notice. I’ll be unavailable for a few hours but will try to catch up later in the day.",2,3,5,2,12,2,"This response is detailed and uses the correct tone, however it lacks believability because doctor appointments will be known about ahead of time."
4,B,I won’t be able to come in today due to personal reasons.,2,1,1,1,5,3,"This response severely lacks detail and emotion, while not implausible, it will raise high suspicion"
4,C,"Hey, apologies for the late notice — my internet has been down since early this morning and I’m waiting for the service provider to resolve it. I won’t be able to work until it’s fixed.",5,5,4,5,19,1,"This response is realistic, detailed. I think end is a little harsh emotionally."
